matchup,team1,team2,team1_score,team2_score,winner
0,1,2,93,72,1
1,3,4,53,64,4
2,5,6,63,70,6
3,7,8,75,71,7
4,9,10,64,78,10
5,11,12,97,62,11
6,13,14,74,73,13
7,15,16,78,61,15
8,17,18,85,49,17
9,19,20,95,63,19
10,21,22,82,53,21
11,23,24,57,53,23
12,25,26,81,73,25
13,27,28,78,56,27
14,29,30,92,87,29
15,31,32,79,85,32
16,33,34,87,70,33
17,35,36,42,69,36
18,37,38,82,68,37
19,39,40,54,53,39
20,41,42,63,75,42
21,43,44,88,56,43
22,45,46,54,41,45
23,47,48,80,60,47
24,49,50,83,56,49
25,51,52,69,72,52
26,53,54,63,67,54
27,55,56,66,57,55
28,57,58,54,59,58
29,59,60,67,60,59
30,61,62,66,68,62
31,63,64,80,61,63
32,1,4,82,78,1
33,6,7,48,53,7
34,10,11,53,59,11
35,13,15,76,85,15
36,17,19,86,93,19
37,21,23,56,72,23
38,25,27,71,81,27
39,29,32,60,70,32
40,33,36,85,80,33
41,37,39,68,53,37
42,42,43,76,68,42
43,45,47,61,71,47
44,49,52,79,72,49
45,54,55,51,79,55
46,58,59,54,49,58
47,62,63,79,61,62
48,1,7,68,74,7
49,11,15,73,78,15
50,19,23,73,66,19
51,27,32,64,67,32
52,33,37,60,72,37
53,42,47,55,63,47
54,49,55,66,61,49
55,58,62,56,70,62
56,7,15,69,78,15
57,19,32,69,49,19
58,37,47,44,50,47
59,49,62,76,50,49
60,15,19,77,81,19
61,47,49,65,81,49
62,19,49,69,72,49
