id,scoringPeriodId,scoringPeriodMatchupId,bracket_id
a4784aa0-c12d-11ee-b568-d9cd047f74cf,1,1,1
a479aa30-c12d-11ee-b568-d9cd047f74cf,1,2,2
a47a1f60-c12d-11ee-b568-d9cd047f74cf,1,3,3
a47a9490-c12d-11ee-b568-d9cd047f74cf,1,4,4
a47b09c0-c12d-11ee-b568-d9cd047f74cf,1,5,5
a47ba600-c12d-11ee-b568-d9cd047f74cf,1,6,6
a47c1b30-c12d-11ee-b568-d9cd047f74cf,1,7,7
a47c6950-c12d-11ee-b568-d9cd047f74cf,1,8,8
a47cb770-c12d-11ee-b568-d9cd047f74cf,1,9,9
a47d53b0-c12d-11ee-b568-d9cd047f74cf,1,10,10
a47da1d0-c12d-11ee-b568-d9cd047f74cf,1,11,11
a47e3e10-c12d-11ee-b568-d9cd047f74cf,1,12,12
a47e8c30-c12d-11ee-b568-d9cd047f74cf,1,13,13
a47f0160-c12d-11ee-b568-d9cd047f74cf,1,14,14
a47f7690-c12d-11ee-b568-d9cd047f74cf,1,15,15
a47fc4b0-c12d-11ee-b568-d9cd047f74cf,1,16,16
a48012d0-c12d-11ee-b568-d9cd047f74cf,1,17,17
a480af10-c12d-11ee-b568-d9cd047f74cf,1,18,18
a480fd30-c12d-11ee-b568-d9cd047f74cf,1,19,19
a4814b50-c12d-11ee-b568-d9cd047f74cf,1,20,20
a4819970-c12d-11ee-b568-d9cd047f74cf,1,21,21
a4825cc0-c12d-11ee-b568-d9cd047f74cf,1,22,22
a482d1f0-c12d-11ee-b568-d9cd047f74cf,1,23,23
a4832010-c12d-11ee-b568-d9cd047f74cf,1,24,24
a483bc50-c12d-11ee-b568-d9cd047f74cf,1,25,25
a4845890-c12d-11ee-b568-d9cd047f74cf,1,26,26
a484cdc0-c12d-11ee-b568-d9cd047f74cf,1,27,27
a4856a00-c12d-11ee-b568-d9cd047f74cf,1,28,28
a4860640-c12d-11ee-b568-d9cd047f74cf,1,29,29
a4867b70-c12d-11ee-b568-d9cd047f74cf,1,30,30
a486c990-c12d-11ee-b568-d9cd047f74cf,1,31,31
a48765d0-c12d-11ee-b568-d9cd047f74cf,1,32,32
a487b3f0-c12d-11ee-b568-d9cd047f74cf,2,1,33
a4880210-c12d-11ee-b568-d9cd047f74cf,2,2,34
a4885030-c12d-11ee-b568-d9cd047f74cf,2,3,35
a488c560-c12d-11ee-b568-d9cd047f74cf,2,4,36
a4891380-c12d-11ee-b568-d9cd047f74cf,2,5,37
a48961a0-c12d-11ee-b568-d9cd047f74cf,2,6,38
a489d6d0-c12d-11ee-b568-d9cd047f74cf,2,7,39
a48ac130-c12d-11ee-b568-d9cd047f74cf,2,8,40
a48b3660-c12d-11ee-b568-d9cd047f74cf,2,9,41
a48bab90-c12d-11ee-b568-d9cd047f74cf,2,10,42
a48c20c0-c12d-11ee-b568-d9cd047f74cf,2,11,43
a48ce410-c12d-11ee-b568-d9cd047f74cf,2,12,44
a48d5940-c12d-11ee-b568-d9cd047f74cf,2,13,45
a48da760-c12d-11ee-b568-d9cd047f74cf,2,14,46
a48e1c90-c12d-11ee-b568-d9cd047f74cf,2,15,47
a48e91c0-c12d-11ee-b568-d9cd047f74cf,2,16,48
a48f06f0-c12d-11ee-b568-d9cd047f74cf,3,1,49
a48fa330-c12d-11ee-b568-d9cd047f74cf,3,2,50
a4906680-c12d-11ee-b568-d9cd047f74cf,3,3,51
a490dbb0-c12d-11ee-b568-d9cd047f74cf,3,4,52
a491c610-c12d-11ee-b568-d9cd047f74cf,3,5,53
a4928960-c12d-11ee-b568-d9cd047f74cf,3,6,54
a49325a0-c12d-11ee-b568-d9cd047f74cf,3,7,55
a493c1e0-c12d-11ee-b568-d9cd047f74cf,3,8,56
a4943710-c12d-11ee-b568-d9cd047f74cf,4,1,57
a494d350-c12d-11ee-b568-d9cd047f74cf,4,2,58
a4952170-c12d-11ee-b568-d9cd047f74cf,4,3,59
a4956f90-c12d-11ee-b568-d9cd047f74cf,4,4,60
a49632e0-c12d-11ee-b568-d9cd047f74cf,5,1,61
a496f630-c12d-11ee-b568-d9cd047f74cf,5,2,62
a497b980-c12d-11ee-b568-d9cd047f74cf,6,1,63
